time_stamp,load_gross_real_power_kW
2023-08-21 04:07:32.328333-07:00,5.0
2023-08-21 05:09:15.980701-07:00,5.0
2023-08-21 06:11:03.275555-07:00,5.0
2023-08-21 07:12:34.373999-07:00,5.366
2023-08-21 08:14:14.330227-07:00,17.971
2023-08-21 09:15:53.890724-07:00,11.019
2023-08-21 10:17:32.712276-07:00,17.033
2023-08-21 11:19:06.911933-07:00,11.127
2023-08-21 12:20:43.888947-07:00,11.634
2023-08-21 13:22:24.630755-07:00,22.976
2023-08-21 14:24:00.571918-07:00,28.744
2023-08-21 15:25:42.259126-07:00,28.004
2023-08-21 16:27:24.603278-07:00,23.334
2023-08-21 17:29:02.708603-07:00,18.877
2023-08-21 18:30:44.958365-07:00,11.693
2023-08-21 19:32:28.863406-07:00,21.195
2023-08-21 20:34:04.165721-07:00,10.9
2023-08-21 21:35:42.976750-07:00,8.0
2023-08-21 22:37:20.637212-07:00,7.0
2023-08-21 23:38:56.762811-07:00,7.0
2023-08-22 00:00:59.159677-07:00,6.9
2023-08-22 01:02:38.305908-07:00,7.0
2023-08-22 02:04:14.403183-07:00,7.0
2023-08-22 03:05:50.695671-07:00,7.0
2023-08-22 04:07:34.830050-07:00,7.0
2023-08-22 05:09:16.662105-07:00,10.0
2023-08-22 06:10:53.309916-07:00,7.0
2023-08-22 07:12:35.948127-07:00,9.352
2023-08-22 08:14:11.645532-07:00,17.605
2023-08-22 09:15:51.980753-07:00,16.686
2023-08-22 10:17:31.609022-07:00,22.862
2023-08-22 11:19:11.672530-07:00,15.336
2023-08-22 12:21:00.883617-07:00,17.972
2023-08-22 13:22:47.947488-07:00,13.203
2023-08-22 14:24:36.889209-07:00,17.826999999999998
2023-08-22 15:26:22.708433-07:00,26.477
2023-08-22 16:28:07.398956-07:00,24.331
2023-08-22 17:29:49.239502-07:00,11.66
2023-08-22 18:31:30.508759-07:00,17.458
2023-08-22 19:33:11.941880-07:00,14.219
2023-08-22 20:34:54.784590-07:00,10.0
2023-08-22 21:36:36.330413-07:00,12.0
2023-08-22 22:38:15.096323-07:00,8.0
2023-08-22 23:39:51.099365-07:00,10.0
2023-08-23 00:00:57.472201-07:00,6.9
2023-08-23 01:02:42.307947-07:00,7.0
2023-08-23 02:04:22.332560-07:00,8.0
2023-08-23 03:06:08.622441-07:00,7.0
2023-08-23 04:07:49.783079-07:00,7.0
2023-08-23 05:09:28.521740-07:00,7.0
2023-08-23 06:10:08.981654-07:00,7.0
2023-08-23 07:11:46.512264-07:00,10.173
